symbol,id,name,issueDate,quantityIssued,parValue,issuedPrice,lastTradedPrice,wtdHiPrice,mtdHiPrice,ytdHiPrice,p12HiPrice,allHiPrice,allLowPrice,wtdLowPrice,mtdLowPrice,ytdLowPrice,p12LowPrice,tdyShareVolume,wdyShareVolume,mtdShareVolume,ytdShareVolume,p12ShareVolume,tdyTradeVolume,wtdTradeVolume,mtdTradeVolume,ytdTradeVolume,p12TradeVolume,tdyTurnover,wtdTurnover,mtdTurnover,ytdTurnover,p12Turnover,previousClose,foreignHoldings,foreignPercentage,instrumentsDate,hiTrade,lowTrade,closingPrice,marketCap,marketCapPercentage,change,changePercentage,symbolIndexShareVolume,isin,logo_id,logo_path,beta_securityId,beta_triASIBetaValue,beta_betaValueSPSL,beta_triASIBetaPeriod,beta_quarter
NEH.N0000,363,THE NUWARA ELIYA HOTELS COMPANY PLC,01/JAN/1974,2186040.0,1.0,,4500.0,4500.0,4990.0,5350.0,5350.0,5350.0,132.0,4300.0,4300.0,2030.0,2010.5,20,77,800,104909,105929,7,,,,,85811.5,336694.0,3617231.2,281716448.0,,4500.0,,,,4598.0,4100.5,4500.0,9837180000.0,0.12582545,0.0,0.0,2186040.0,LK0130N00001,2129.0,upload_logo/566_1601463914.jpeg,566,1.0779221,0.5948928,2025,1.0
TAFL.N0000,93,THREE ACRE FARMS PLC,20/MAR/1995,23545000.0,1.0,,585.75,567.0,581.5,680.0,680.0,680.0,5.0,550.0,530.0,290.0,288.0,6629,12001,93208,6410692,6699537,74,,,,,3835695.8,6651773.5,51829524.0,3002709250.0,,550.0,,,,628.0,550.0,585.75,13791483750.0,0.17640418,35.75,6.5,23545000.0,LK0236N00006,2130.0,upload_logo/491_1601463969.jpeg,491,1.1685606,0.5,2025,1.0
TKYO.N0000,411,TOKYO CEMENT COMPANY (LANKA) PLC,01/JAN/1984,294030000.0,1.0,,105.0,103.0,104.5,104.5,104.5,340.0,5.25,100.0,91.9,68.0,62.1,1634174,1193155,4552603,57057455,62333635,424,,,,,167993136.0,121800504.0,456450176.0,4775682000.0,,102.0,,,,105.0,100.0,103.5,30432105000.0,0.3892511,1.5,1.4705882352941178,294030000.0,LK0165N00007,2173.0,upload_logo/688_1601611429.jpeg,688,1.0873917,0.93899745,2025,1.0
TKYO.X0000,15,TOKYO CEMENT COMPANY (LANKA) PLC,01/JAN/1984,147015000.0,1.0,,82.1,80.7,80.7,80.7,80.7,82.0,7.0,79.0,72.3,58.0,52.3,3733798,659601,6707238,90980984,103976356,538,,,,,302026592.0,52745244.0,527255392.0,6440478200.0,,79.8,,,,83.5,79.9,82.1,12069931500.0,0.15438414,2.3,2.882205513784461,,LK0165X00006,2173.0,upload_logo/688_1601611429.jpeg,688,1.0873917,0.93899745,2025,1.0
TRAN.N0000,499,TRANS ASIA HOTELS PLC,01/JAN/1983,200000000.0,1.0,,59.3,60.0,62.0,69.0,69.0,378.0,10.0,58.4,55.1,37.0,37.0,1006,3479,11618,12632784,13455256,9,,,,,59769.8,208338.1,677345.6,640815550.0,,59.9,,,,60.0,57.0,59.3,11860000000.0,0.15169895,-0.6,-1.001669449081803,200000000.0,LK0166N00005,2245.0,upload_logo/606_1603172582.jpeg,606,0.51650435,0.3039092,2025,1.0
UBF.N0000,5732,UB FINANCE PLC,14/AUG/2023,3178485367.0,1.0,,3.5,3.1,3.3,4.5,4.5,4.5,0.5,2.9,2.8,0.6,0.6,6768428,471077,8139832,829971185,842387405,463,,,,,22826594.0,1415101.4,24435632.0,1888997630.0,,3.0,,,,3.7,2.9,3.5,11124698784.5,0.14229386,0.5,16.666666666666668,3178485367.0,LK0488N00003,3364.0,upload_logo/VnqqltHyDgNeTEjy_9Sep2024035533GMT_1725854133227.jpeg,2998,1.4131494,0.8921816,2025,
UDPL.N0000,561,UDAPUSSELLAWA  PLANTATIONS PLC,04/MAY/1998,19398850.0,1.0,,159.25,165.0,174.75,194.75,194.75,194.75,5.75,156.0,156.0,110.0,110.0,1664,1287,7811,1450372,1650403,23,,,,,261738.25,206231.25,1261757.8,207946992.0,,156.75,,,,167.0,155.0,159.25,3089266862.5,0.03951421,2.5,1.594896331738437,19398850.0,LK0287N00009,387.0,upload_logo/727_1192788842.gif,727,0.74891776,0.52884614,2025,1.0
UAL.N0000,425,UNION ASSURANCE PLC,29/JUL/1988,589285720.0,1.0,,73.0,74.0,78.9,86.5,86.5,405.0,8.0,72.0,71.5,49.0,49.0,120789,72875,252133,21403059,23338288,53,,,,,8819394.0,5318973.5,18583016.0,1417951870.0,,72.9,,,,73.8,72.8,73.0,43017857560.0,0.550233,0.1,0.13717421124828533,589285720.0,LK0179N00008,2131.0,upload_logo/450_1601464021.jpeg,450,1.0221862,0.59300125,2025,1.0
UBC.N0000,1790,UNION BANK OF COLOMBO PLC,29/MAR/2011,1083558338.0,1.0,,14.0,14.5,15.1,18.0,18.0,45.0,4.3,13.8,13.5,9.4,9.4,79738,93877,976443,222965510,239073079,71,,,,,1113165.6,1318902.0,14042234.0,2921325570.0,,13.9,,,,14.4,13.8,14.0,15169816732.0,0.19403416,0.1,0.7194244604316546,1083558338.0,LK0306N00007,2230.0,upload_logo/rr4Ed6HnT90HuQz6_30May2024035232GMT_1717041152037.jpeg,1047,1.5102813,0.8617591,2025,1.0
UCAR.N0000,278,UNION CHEMICALS LANKA PLC,01/AUG/1988,1500000.0,1.0,,1270.25,1289.75,1367.0,1475.0,1475.0,1475.0,9.0,1211.0,1211.0,610.5,610.5,141,517,4136,202542,206547,11,,,,,179277.25,636142.0,5215224.5,206392656.0,,1213.75,,,,1289.0,1212.5,1270.25,1905375000.0,0.02437128,56.5,4.6549948506694125,1500000.0,LK0178N00000,181.0,upload_logo/500_1192515200.gif,500,0.28760824,0.3302333,2025,1.0
