symbol,id,name,issueDate,quantityIssued,parValue,issuedPrice,lastTradedPrice,wtdHiPrice,mtdHiPrice,ytdHiPrice,p12HiPrice,allHiPrice,allLowPrice,wtdLowPrice,mtdLowPrice,ytdLowPrice,p12LowPrice,tdyShareVolume,wdyShareVolume,mtdShareVolume,ytdShareVolume,p12ShareVolume,tdyTradeVolume,wtdTradeVolume,mtdTradeVolume,ytdTradeVolume,p12TradeVolume,tdyTurnover,wtdTurnover,mtdTurnover,ytdTurnover,p12Turnover,previousClose,foreignHoldings,foreignPercentage,instrumentsDate,hiTrade,lowTrade,closingPrice,marketCap,marketCapPercentage,change,changePercentage,symbolIndexShareVolume,isin,logo_id,logo_path,logo_secId,beta_securityId,beta_triASIBetaValue,beta_betaValueSPSL,beta_triASIBetaPeriod,beta_quarter
APLA.N0000,406,ACL PLASTICS PLC,05/APR/1995,42125000,1.0,,191.5,170.0,1725.0,1950.0,1950.0,1950.0,9.0,165.0,165.0,165.0,165.0,198259,48876,90829,1299422,1294840,546,,,,,36481272.0,8194370.0,77413584.0,1288094460.0,,166.0,,,,199.5,168.0,191.5,8066937500.0,0.10055397,25.5,15.36144578313253,42125000.0,LK0238N00002,2177.0,upload_logo/643_1601622375.jpeg,643.0,643,0.8990801,0.598203,2025,1.0
AGST.X0000,2035,AGSTAR PLC,16/FEB/2012,26210535,1.0,,11.4,11.4,12.7,14.8,14.8,15.0,4.0,11.4,10.6,9.5,9.5,11,890,41691,2635805,2635805,2,,,,,127.0,10146.0,479294.9,31042822.0,,11.4,,,,11.6,11.0,11.4,298800099.0,0.003724528,0.0,0.0,,LK0408X00000,2145.0,upload_logo/1121_1601609820.jpeg,1121.0,1121,0.31006494,0.11569987,2025,1.0
ABAN.N0000,204,ABANS ELECTRICALS PLC,01/JAN/1984,5110560,1.0,,1247.25,1275.0,1297.75,1625.0,1625.0,1625.0,8.75,1190.0,1099.75,350.0,350.0,813,1296,32833,1072940,1075833,47,,,,,997189.75,1561330.2,39290164.0,710252030.0,,1201.5,,,,1255.0,1202.0,1247.25,6374145960.0,0.07945341,45.75,3.807740324594257,5110560.0,LK0001N00004,2232.0,upload_logo/642_1603172106.jpeg,642.0,642,1.4975649,0.8690101,2025,1.0
AGST.N0000,2026,AGSTAR PLC,16/FEB/2012,461289465,1.0,,8.9,9.1,9.4,10.4,10.4,21.8,3.0,8.7,8.4,6.9,6.9,53853,421731,6480184,227233605,235559448,30,,,,,477890.4,3738938.0,58068644.0,2002150020.0,,9.0,,,,9.1,8.8,8.9,4105476238.5,0.051174555,-0.1,-1.1111111111111112,461289465.0,LK0408N00001,2145.0,upload_logo/1121_1601609820.jpeg,1121.0,1121,0.31006494,0.11569987,2025,1.0
ACME.N0000,554,ACME PRINTING & PACKAGING PLC,01/JAN/1956,95000000,1.0,,6.4,6.4,6.5,7.4,7.4,201.0,2.3,6.0,5.9,3.9,3.9,30502,226441,1484639,76768475,76621336,19,,,,,191693.4,1380442.2,9073698.0,381443456.0,,6.1,,,,6.4,6.1,6.4,608000000.0,0.007578689,0.3,4.918032786885246,95000000.0,LK0002N00002,2143.0,upload_logo/661_1601609771.jpeg,661.0,661,0.39772728,0.029161412,2025,1.0
AGPL.N0000,5753,Agarapatana Plantations PLC,04/SEP/2023,500000000,1.0,,19.8,19.1,19.4,24.3,24.3,24.3,6.7,18.2,17.1,10.6,10.6,116836,62710,1258816,214243034,216850691,179,,,,,2328881.0,1170066.0,22875168.0,3410179580.0,,18.8,,,,20.2,18.6,19.8,9900000000.0,0.123403,1.0,5.319148936170213,500000000.0,LK0490N00009,3124.0,upload_logo/uZoIWZANtLhpMSE5_1Sep2023095916GMT_1693562356724.jpeg,3027.0,3027,0.24648269,0.09016393,2025,
AGAL.N0000,163,AGALAWATTE  PLANTATIONS  PLC,22/JAN/1996,156250000,1.0,,53.0,53.7,56.0,69.0,69.0,115.0,4.75,51.8,49.0,39.0,39.0,58519,81559,708337,73196302,73452327,60,,,,,3075256.5,4241734.5,37193948.0,3926492160.0,,52.0,,,,53.5,52.0,53.0,8281250000.0,0.103225365,1.0,1.9230769230769231,156250000.0,LK0248N00001,2144.0,upload_logo/704_1601609799.jpeg,704.0,704,0.72050864,0.5220681,2025,1.0
AFSL.N0000,1845,ABANS FINANCE PLC,27/JUN/2011,73693171,1.0,,69.5,73.4,80.0,100.0,100.0,116.2,12.0,67.2,65.0,37.1,37.1,771,3802,95519,2108615,2171235,16,,,,,53370.0,274369.7,6703187.0,144314192.0,,73.3,,,,73.3,68.5,69.5,5121675384.5,0.063841425,-3.8,-5.184174624829468,73693171.0,LK0388N00005,2141.0,upload_logo/1069_1601609724.jpeg,1069.0,1069,-0.10091991,-0.27947667,2025,1.0
AHUN.N0000,144,AITKEN SPENCE HOTEL HOLDINGS PLC,01/JAN/1980,336290010,1.0,,113.25,112.0,113.5,128.25,128.25,900.0,5.0,105.0,100.0,73.0,73.0,543560,38479,1755501,44381401,44794739,64,,,,,60423204.0,4175754.5,186020096.0,4311085600.0,,111.0,,,,114.0,111.0,113.25,38084843632.5,0.47472563,2.25,2.027027027027027,336290010.0,LK0003N00000,200.0,upload_logo/521_1192527461.gif,521.0,521,-0.03165584,-0.06651954,2025,1.0
SPEN.N0000,343,AITKEN SPENCE PLC,01/JAN/1983,405996045,1.0,,156.25,156.0,156.0,175.0,175.0,3500.0,8.5,152.5,145.0,120.0,120.0,2873,142456,709832,45196900,46446983,18,,,,,447650.0,22065572.0,107059840.0,6904518700.0,,155.0,,,,157.0,155.0,156.25,63436882031.25,0.7907375,1.25,0.8064516129032258,405996045.0,LK0004N00008,2147.0,upload_logo/501_1601609954.jpeg,501.0,501,0.24648269,0.20412989,2025,1.0
