symbol,id,name,issueDate,quantityIssued,parValue,issuedPrice,lastTradedPrice,wtdHiPrice,mtdHiPrice,ytdHiPrice,p12HiPrice,allHiPrice,allLowPrice,wtdLowPrice,mtdLowPrice,ytdLowPrice,p12LowPrice,tdyShareVolume,wdyShareVolume,mtdShareVolume,ytdShareVolume,p12ShareVolume,tdyTradeVolume,wtdTradeVolume,mtdTradeVolume,ytdTradeVolume,p12TradeVolume,tdyTurnover,wtdTurnover,mtdTurnover,ytdTurnover,p12Turnover,previousClose,foreignHoldings,foreignPercentage,instrumentsDate,hiTrade,lowTrade,closingPrice,marketCap,marketCapPercentage,change,changePercentage,symbolIndexShareVolume,isin,logo_id,logo_path,logo_secId,beta_securityId,beta_triASIBetaValue,beta_betaValueSPSL,beta_triASIBetaPeriod,beta_quarter
AEL.N0000,2065,ACCESS ENGINEERING PLC,27/MAR/2012,1000000000,1.0,,77.1,77.8,79.0,80.5,80.5,80.5,8.3,77.1,71.6,63.5,42.5,75259,17104,11580217,123878048,401118831,115,,,,,5802260.5,1323133.2,884586500.0,9224131600.0,,77.3,,,,78.0,77.0,77.1,77100000000.0,0.955011,-0.2,-0.258732212160414,1000000000.0,LK0409N00009,2142.0,upload_logo/1141_1601609745.jpeg,1141.0,1141,1.2903138,0.9159836,2025,1.0
APLA.N0000,406,ACL PLASTICS PLC,05/APR/1995,42125000,1.0,,153.5,156.75,159.0,204.75,1950.0,1950.0,9.0,151.25,138.0,115.25,115.25,3058,5371,480800,4252599,5364544,20,,,,,469324.0,825877.0,71666048.0,691752380.0,,152.75,,,,154.75,152.0,153.5,6466187500.0,0.08009443,0.75,0.4909983633387889,42125000.0,LK0238N00002,2177.0,upload_logo/643_1601622375.jpeg,643.0,643,0.8990801,0.598203,2025,1.0
AGPL.N0000,5753,Agarapatana Plantations PLC,04/SEP/2023,500000000,1.0,,16.8,16.9,18.0,21.0,24.3,24.3,6.7,16.5,16.1,13.2,13.2,2879,2747,268330,5052498,47332258,11,,,,,47790.7,45729.1,4475851.5,86819200.0,,16.7,,,,17.2,16.5,16.8,8400000000.0,0.104047894,0.1,0.5988023952095808,500000000.0,LK0490N00009,3124.0,upload_logo/uZoIWZANtLhpMSE5_1Sep2023095916GMT_1693562356724.jpeg,3027.0,3027,0.24648269,0.09016393,2025,
AFSL.N0000,1845,ABANS FINANCE PLC,27/JUN/2011,73693171,1.0,,101.75,103.0,105.0,120.0,120.0,120.0,12.0,98.9,90.0,70.3,52.1,1052,4680,48067,1230578,2773837,10,,,,,107203.25,468763.4,4699289.5,118707192.0,,100.0,,,,103.0,96.0,101.75,7498280149.25,0.0928786,1.75,1.75,73693171.0,LK0388N00005,2141.0,upload_logo/1069_1601609724.jpeg,1069.0,1069,-0.10091991,-0.27947667,2025,1.0
AGST.N0000,2026,AGSTAR PLC,16/FEB/2012,461289465,1.0,,12.0,12.4,13.5,14.6,14.6,21.8,3.0,12.0,11.7,8.7,7.6,5831,1414,5824072,149827929,294571861,18,,,,,70001.3,17249.4,73449232.0,1762143870.0,,12.3,,,,12.3,11.9,12.0,5535473580.0,0.068565995,-0.3,-2.4390243902439024,461289465.0,LK0408N00001,2145.0,upload_logo/1121_1601609820.jpeg,1121.0,1121,0.31006494,0.11569987,2025,1.0
AGAL.N0000,163,AGALAWATTE  PLANTATIONS  PLC,22/JAN/1996,156250000,1.0,,53.7,55.0,57.0,63.1,69.0,115.0,4.75,53.5,50.5,44.2,44.2,3396,73069,357015,6092798,24226014,15,,,,,182987.2,3987754.0,19687288.0,339465280.0,,54.7,,,,55.0,53.5,53.7,8390625000.0,0.10393177,-1.0,-1.8281535648994516,156250000.0,LK0248N00001,2144.0,upload_logo/704_1601609799.jpeg,704.0,704,0.72050864,0.5220681,2025,1.0
AGST.X0000,2035,AGSTAR PLC,16/FEB/2012,26210535,1.0,,12.5,0.0,12.7,13.5,14.8,15.0,4.0,0.0,11.3,10.7,9.5,0,0,29122,718142,3353898,0,,,,,0.0,0.0,354844.9,8986349.0,,12.5,,,,,,12.5,327631687.5,0.0040582605,0.0,0.0,,LK0408X00000,2145.0,upload_logo/1121_1601609820.jpeg,1121.0,1121,0.31006494,0.11569987,2025,1.0
ACME.N0000,554,ACME PRINTING & PACKAGING PLC,01/JAN/1956,665000000,1.0,,5.0,5.3,5.8,38.3,38.3,201.0,2.3,5.0,4.8,3.2,3.2,1008461,682936,24412780,496041310,514214193,156,,,,,5041640.0,3476081.5,128512632.0,3733433860.0,,5.1,,,,5.3,4.9,5.0,3325000000.0,0.041185625,-0.1,-1.9607843137254901,665000000.0,LK0002N00002,2143.0,upload_logo/661_1601609771.jpeg,661.0,661,0.39772728,0.029161412,2025,1.0
ABAN.N0000,204,ABANS ELECTRICALS PLC,01/JAN/1984,5110560,1.0,,1146.0,1179.75,1208.5,1550.0,1625.0,1625.0,8.75,1140.0,1100.0,1000.0,412.25,129,268,255822,387074,952258,13,,,,,147835.5,306299.75,286689920.0,448041216.0,,1143.0,,,,1178.75,1140.5,1146.0,5856701760.0,0.07254494,3.0,0.26246719160104987,5110560.0,LK0001N00004,2232.0,upload_logo/642_1603172106.jpeg,642.0,642,1.4975649,0.8690101,2025,1.0
ACL.N0000,472,ACL CABLES PLC,01/JAN/1976,718724160,1.0,,100.0,100.5,102.0,107.75,260.25,420.0,8.0,99.6,93.0,81.1,81.1,68716,223805,12315609,159154147,199473132,120,,,,,6875300.0,22381360.0,1201297150.0,15622338600.0,,100.0,,,,100.5,99.9,100.0,71872416000.0,0.8902587,0.0,0.0,718724160.0,LK0011N00003,2176.0,upload_logo/644_1601622355.jpeg,644.0,644,1.049513,0.5777112,2025,1.0
